mrr,plan_tier,months_active,usage_index,usage_trend_3m,support_tickets_90d,payment_failures,seat_utilization,days_since_login,churned
605.83,1,49,0.4077,-0.0014,1,0,0.5159,8,0
239.95,0,20,0.5197,-0.0992,1,0,0.4529,1,0
2639.71,2,27,0.5831,-0.0368,1,0,0.5829,6,0
714.3,1,52,0.5834,-0.1397,2,0,0.5488,6,0
263.08,0,27,0.572,0.0614,0,0,0.5544,1,1
2800.91,2,1,0.9198,0.028,0,3,0.6426,6,0
787.73,1,1,0.6122,-0.3634,4,3,0.6167,46,1
963.28,1,27,0.5226,-0.1714,5,1,0.313,43,1
506.4,0,39,0.3845,-0.3029,10,0,0.1839,14,1
273.07,0,57,0.5531,-0.0511,1,0,0.5643,7,0
438.19,0,8,0.0572,-0.1281,5,0,0.5705,3,0
2919.02,2,33,0.4498,-0.3336,5,0,0.3979,15,1
532.56,1,18,0.1642,0.0806,1,0,0.5479,1,1
605.15,1,28,0.1987,-0.3824,5,0,0.05,37,1
216.62,0,27,0.6722,-0.1424,6,0,0.1132,20,0
215.01,0,19,0.6119,-0.3132,10,0,0.4839,27,0
862.31,1,2,0.4188,-0.0511,0,0,0.3722,8,0
359.61,0,5,0.2388,-0.3014,3,0,0.1488,33,1
1380.95,1,32,0.4192,-0.1969,2,4,0.4056,50,1
991.36,1,14,0.2504,-0.0125,0,0,0.3338,7,0
761.46,1,20,0.1691,-0.1861,0,0,0.7966,4,1
139.92,0,6,0.5962,-0.0877,3,0,0.4522,2,1
2460.03,2,3,0.6056,-0.3975,3,0,0.2043,55,1
2421.74,2,8,0.8307,0.1093,0,1,0.8182,1,0
948.85,1,23,0.6857,-0.2764,7,0,0.1991,17,1
606.11,0,10,0.6976,-0.26,1,0,0.2993,45,1
447.68,0,14,0.4721,0.2064,4,0,0.5311,8,0
381.71,0,19,0.4903,-0.1606,0,1,0.1984,6,1
207.09,0,18,0.1031,0.1286,2,0,0.6215,6,0
743.73,1,1,0.4755,0.0581,1,0,0.6605,8,0
860.94,1,8,0.6484,-0.139,8,1,0.05,27,0
1829.56,2,58,0.8304,-0.2482,5,1,0.3759,38,0
345.52,0,41,0.7734,-0.0463,2,1,0.4032,3,0
328.59,0,8,0.1363,-0.3184,10,0,0.4417,49,1
198.14,0,18,0.2228,-0.1261,1,1,0.1479,5,0
440.88,0,23,0.4759,-0.0323,3,0,0.5125,6,0
300.57,0,55,0.8292,0.0229,0,0,0.3529,3,0
158.33,0,53,0.1609,-0.362,4,0,0.05,27,0
284.84,0,47,0.5643,-0.0811,4,0,0.5413,56,1
982.05,1,7,0.494,-0.1067,5,1,0.1178,14,0
407.63,0,30,0.6279,-0.4237,5,0,0.5362,46,0
790.85,1,30,0.5961,-0.1621,9,0,0.605,49,0
1189.16,1,39,0.2593,0.0467,0,0,0.7793,0,0
309.63,0,51,0.3269,-0.1107,1,1,0.5179,8,0
561.69,1,20,0.5962,-0.1944,3,0,0.6909,13,1
542.35,1,34,0.4851,-0.385,12,0,0.0546,55,1
429.57,0,16,0.6555,-0.0637,1,3,0.435,8,1
440.75,0,13,0.4559,-0.0563,7,0,0.132,55,0
996.49,1,19,0.8532,-0.396,4,0,0.5585,25,0
489.5,0,45,0.5027,-0.0344,3,0,0.6864,2,0
419.76,0,27,0.7934,-0.0808,3,0,0.1723,39,0
368.39,0,41,0.3222,-0.0611,4,0,0.2309,35,1
646.95,1,42,0.3546,-0.4098,7,0,0.3964,54,1
1631.45,1,22,0.612,0.0311,5,0,0.3382,3,0
1073.77,1,58,0.4425,0.0728,2,0,0.3043,8,0
777.57,1,3,0.5383,-0.0763,0,0,0.1844,8,0
229.52,0,54,0.6901,-0.0032,0,0,0.8233,3,1
973.69,1,1,0.3732,-0.0142,2,1,0.5823,8,1
161.58,0,23,0.1476,-0.4124,7,0,0.3976,36,1
370.47,0,50,0.6571,0.0863,0,1,0.4151,3,1
637.45,1,42,0.2508,0.0773,2,0,0.8095,1,0
330.17,0,20,0.5679,-0.04,0,0,0.5387,5,0
741.48,1,54,0.5645,-0.1304,2,1,0.7708,4,1
811.33,1,9,0.7911,-0.2916,3,0,0.2316,29,0
682.87,1,41,0.6205,-0.1305,7,0,0.4576,25,1
841.17,1,32,0.4604,-0.0328,1,0,0.1605,3,0
1724.18,1,13,0.4057,-0.1045,5,0,0.0819,45,1
470.9,0,56,0.5712,-0.0235,1,0,0.117,5,0
328.31,0,46,0.7845,0.0507,3,0,0.6545,1,0
287.44,0,1,0.788,-0.0611,8,0,0.2729,41,1
389.69,0,6,0.9485,0.0886,0,0,0.2078,8,0
430.68,0,4,0.6002,0.1545,2,0,0.9946,1,0
1795.05,2,25,0.2111,0.0711,2,0,0.4392,8,0
282.25,0,26,0.3768,0.0277,0,1,0.4951,8,0
153.27,0,44,0.6228,0.0726,5,0,0.0991,6,1
429.65,0,41,0.5899,-0.2363,8,0,0.7002,24,1
597.43,0,1,0.1597,0.1063,0,1,0.3905,8,0
915.3,1,29,0.8075,0.0259,0,0,0.4547,5,0
423.04,1,48,0.4691,-0.1108,1,2,0.4166,4,1
1101.4,1,54,0.4583,-0.1268,1,0,0.5158,7,0
648.58,1,18,0.6437,0.0661,0,0,0.7154,1,0
